provincia,codigo_provincia,municipio,codigo_municipio,tipo_via,sigla,denominacion,direccion_completa,barrio
Murcia,30,MURCIA,30,AGREGADO,AG,AGRUPACIONES RESIDENCIALS,"AGREGADO AGRUPACIONES RESIDENCIALS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,"ALDEA, ALAMEDA",AL,CAPUCHINOS,"ALDEA, ALAMEDA CAPUCHINOS, MURCIA, Murcia",MURCIA
Murcia,30,MURCIA,30,"ALDEA, ALAMEDA",AL,PINOS,"ALDEA, ALAMEDA PINOS, MURCIA, Murcia",CHURRA
Murcia,30,MURCIA,30,"ALDEA, ALAMEDA",AL,PINOS,"ALDEA, ALAMEDA PINOS, MURCIA, Murcia",PUNTAL EL
Murcia,30,MURCIA,30,AVENIDA,AV,1 PP INDUS SS 4-1,"AVENIDA 1 PP INDUS SS 4-1, MURCIA, Murcia",SANGONERA SECA
Murcia,30,MURCIA,30,AVENIDA,AV,ABENARABI,"AVENIDA ABENARABI, MURCIA, Murcia",MURCIA
Murcia,30,MURCIA,30,AVENIDA,AV,ACADEMIA DE INFANTERIA,"AVENIDA ACADEMIA DE INFANTERIA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,AVENIDA,AV,ALCANTARILLA,"AVENIDA ALCANTARILLA, MURCIA, Murcia",NONDUERMAS
Murcia,30,MURCIA,30,AVENIDA,AV,ALEJANDRO VALVERDE,"AVENIDA ALEJANDRO VALVERDE, MURCIA, Murcia",ESPARRAGAL
Murcia,30,MURCIA,30,AVENIDA,AV,ALFONSO AVILES OTONS,"AVENIDA ALFONSO AVILES OTONS, MURCIA, Murcia",GEA Y TRUYOLS
Murcia,30,MURCIA,30,AVENIDA,AV,ALFONSO X EL SABIO,"AVENIDA ALFONSO X EL SABIO, MURCIA, Murcia",MONTEAGUDO
Murcia,30,MURCIA,30,AVENIDA,AV,ALHAMA DE MURCIA,"AVENIDA ALHAMA DE MURCIA, MURCIA, Murcia",SANGONERA SECA
Murcia,30,MURCIA,30,AVENIDA,AV,ALICANTE,"AVENIDA ALICANTE, MURCIA, Murcia",CHURRA
Murcia,30,MURCIA,30,AVENIDA,AV,ALICANTE,"AVENIDA ALICANTE, MURCIA, Murcia",ESPARRAGAL
Murcia,30,MURCIA,30,AVENIDA,AV,ALICANTE,"AVENIDA ALICANTE, MURCIA, Murcia",MONTEAGUDO
Murcia,30,MURCIA,30,AVENIDA,AV,ALICANTE,"AVENIDA ALICANTE, MURCIA, Murcia",ZARANDONA
Murcia,30,MURCIA,30,AVENIDA,AV,ALMIRANTE LOAYSA,"AVENIDA ALMIRANTE LOAYSA, MURCIA, Murcia",MURCIA
Murcia,30,MURCIA,30,AVENIDA,AV,AMBAR,"AVENIDA AMBAR, MURCIA, Murcia",SUCINA
Murcia,30,MURCIA,30,AVENIDA,AV,ANTONETE GALVEZ,"AVENIDA ANTONETE GALVEZ, MURCIA, Murcia",MURCIA
Murcia,30,MURCIA,30,AVENIDA,AV,ANTONIO MARTINEZ GUIRAO,"AVENIDA ANTONIO MARTINEZ GUIRAO, MURCIA, Murcia",MURCIA
Murcia,30,MURCIA,30,AVENIDA,AV,ANTONIO PEREÑIGUEZ FLORES,"AVENIDA ANTONIO PEREÑIGUEZ FLORES, MURCIA, Murcia",MURCIA
Murcia,30,MURCIA,30,AVENIDA,AV,ARQUITECTO M ANGEL BELOQU,"AVENIDA ARQUITECTO M ANGEL BELOQU, MURCIA, Murcia",GEA Y TRUYOLS
Murcia,30,MURCIA,30,AVENIDA,AV,BALSICAS,"AVENIDA BALSICAS, MURCIA, Murcia",SUCINA
Murcia,30,MURCIA,30,AVENIDA,AV,BARRANCO DEL,"AVENIDA BARRANCO DEL, MURCIA, Murcia",ALQUERIAS
Murcia,30,MURCIA,30,AVENIDA,AV,BENIEL,"AVENIDA BENIEL, MURCIA, Murcia",EL PALMAR
Murcia,30,MURCIA,30,AVENIDA,AV,BURGOS,"AVENIDA BURGOS, MURCIA, Murcia",ZARANDONA
Murcia,30,MURCIA,30,AVENIDA,AV,CABEZO TORRES,"AVENIDA CABEZO TORRES, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,AVENIDA,AV,CABEZO TORRES,"AVENIDA CABEZO TORRES, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,AVENIDA,AV,CAÑADA REAL TORREAGUERA,"AVENIDA CAÑADA REAL TORREAGUERA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,AVENIDA,AV,CANAL DEL TAIBILLA,"AVENIDA CANAL DEL TAIBILLA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,AVENIDA,AV,CANAL DEL TAIBILLA,"AVENIDA CANAL DEL TAIBILLA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,AVENIDA,AV,CANALEJAS,"AVENIDA CANALEJAS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,AVENIDA,AV,CANTEROS DE EL PALMAR,"AVENIDA CANTEROS DE EL PALMAR, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,AVENIDA,AV,CARLOS VALCARCEL MAVOR,"AVENIDA CARLOS VALCARCEL MAVOR, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,AVENIDA,AV,CASILLAS CORIA,"AVENIDA CASILLAS CORIA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,AVENIDA,AV,CASTILLO DE LA ASOMADA,"AVENIDA CASTILLO DE LA ASOMADA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,AVENIDA,AV,CASTILLO DE MONTEAGUDO,"AVENIDA CASTILLO DE MONTEAGUDO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,AVENIDA,AV,CATEDRAT EUSEBIO ARANDA,"AVENIDA CATEDRAT EUSEBIO ARANDA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,AVENIDA,AV,CEBADA,"AVENIDA CEBADA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,AVENIDA,AV,CHOCOLATE,"AVENIDA CHOCOLATE, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,AVENIDA,AV,CHOPOS,"AVENIDA CHOPOS, MURCIA, Murcia",EL PALMAR
Murcia,30,MURCIA,30,AVENIDA,AV,CIUDAD ALMERIA,"AVENIDA CIUDAD ALMERIA, MURCIA, Murcia",MURCIA
Murcia,30,MURCIA,30,AVENIDA,AV,CIUDAD DE ARANJUEZ,"AVENIDA CIUDAD DE ARANJUEZ, MURCIA, Murcia",MURCIA
