via,barrio
AL CAPUCHINOS,MURCIA
AL PINOS,CHURRA
AL PINOS,PUNTAL EL
AV 1 PP INDUS SS 4-1,SANGONERA SECA
AV ABENARABI,MURCIA
AV ALCANTARILLA,NONDUERMAS
AV ALEJANDRO VALVERDE,ESPARRAGAL
AV ALFONSO AVILES OTONS,GEA Y TRUYOLS
AV ALFONSO X EL SABIO,MONTEAGUDO
AV ALHAMA DE MURCIA,SANGONERA SECA
AV ALICANTE,CHURRA
AV ALICANTE,ESPARRAGAL
AV ALICANTE,MONTEAGUDO
AV ALICANTE,ZARANDONA
AV ALMIRANTE LOAYSA,MURCIA
AV AMBAR,SUCINA
AV ANTONETE GALVEZ,MURCIA
AV ANTONIO MARTINEZ GUIRAO,MURCIA
AV ARQUITECTO M ANGEL BELOQU,MURCIA
AV BALSICAS,GEA Y TRUYOLS
AV BARRANCO DEL,SUCINA
AV BENIEL,ALQUERIAS
AV BURGOS,EL PALMAR
AV CABEZO TORRES,ZARANDONA
AV CANAL DEL TAIBILLA,PUNTAL EL
AV CANALEJAS,MURCIA
AV CANTEROS DE EL PALMAR,EL PALMAR
AV CASILLAS CORIA,CASILLAS
AV CASTILLO DE LA ASOMADA,EL PALMAR
AV CASTILLO DE MONTEAGUDO,ESPARRAGAL
AV CATEDRAT EUSEBIO ARANDA,CHURRA
AV CEBADA,COBATILLAS
AV CHOPOS,EL PALMAR
AV CIUDAD ALMERIA,MURCIA
AV CIUDAD DE ARANJUEZ,MURCIA
AV CIUDAD MURCIA,EL BOJAR
AV CIUDAD SANITARIA,EL PALMAR
AV COLON,SANGONERA SECA
AV CONCEJAL REMIGIO LOPEZ,CABEZO TORRES
AV CONSTITUCION,ALJUCER
AV CONSTITUCION,CABEZO TORRES
AV CONSTITUCION,GUADALUPE
AV CONSTITUCION,JERON.-AVILESES
AV CONSTITUCION,MONTEAGUDO
AV CONSTITUCION,MURCIA
AV CONSTITUCION,SANGONERA SECA
AV CONSTITUCION,SANGONERA VERDE
AV CONSTITUCION,SUCINA
AV CONSTITUCION,TORREAGUERA
AV COSTERA NORTE,GUADALUPE
AV COSTERA SUR,SANTO ANGEL
AV CRISTO RESUCITADO,SUCINA
AV CRONISTA CARLOS VALCARCEL,MURCIA
AV CUARTEL,TORREAGUERA
AV CULTURA,GARRES LOS
AV DE CHURRA,CHURRA
AV DE LA ALBERCA,ALGEZARES
AV DE LA ALBERCA,EL PALMAR
AV DE LA AZACAYA,DOLORES LOS
AV DE LA INMACULADA,MURCIA
AV DE LA JUVENTUD,CABEZO TORRES
AV DE LA LIBERTAD,EL PALMAR
AV DEL COMUN,SANGONERA SECA
AV DEL MEDITERRANEO,GEA Y TRUYOLS
AV DEL PUNTARRON,SANGONERA SECA
AV DE MAZARRON,EL PALMAR
AV DEMOCRACIA,ALJUCER
AV DE MURCIA,CHURRA
AV DOCTOR FLEMING,CHURRA
AV DOCTOR PEDRO GUILLEN,MURCIA
AV DOLORES,MURCIA
AV DON JUAN DE BORBON,MURCIA
AV DR PASCUAL PARRILLA PARIC,MURCIA
AV ENRIQUE TIERNO GALVAN,PUNTAL EL
AV ESCULTOR ANTONIO CAMPILLO,MURCIA
AV EUROPA,MURCIA
AV EUSEBIA GOMEZ,MARTINEZ PUERTO
AV FABIAN ESCRIBANO,BENIAJAN
AV FAMA,MURCIA
AV FEDERICO GARCIA LORCA,GEA Y TRUYOLS
AV FEDERICO GUIRAO,BENIAJAN
AV FLOTA,MURCIA
AV FRANCISCO JIMENEZ RUIZ,MURCIA
AV FRONDOSO VALLEY-TORREGUIL,SANGONERA VERDE
AV GENERAL ORTIN,MURCIA
AV GENERAL PRIMO RIVERA,MURCIA
AV GLORIETA,CHURRA
AV GRAL JOSE M GOMEZ TORRES,ALJUCER
AV HUERTA DE LA,GUADALUPE
AV HUERTO SAN BLAS,TORREAGUERA
AV INFANTE JUAN MANUEL,MURCIA
AV INGENIERO JOSE ALEGRIA,ZARANDONA
AV INTENDENTE JORGE PALACIOS,MURCIA
AV JAIME GESTOSO,GEA Y TRUYOLS
AV JAIME I CONQUISTADOR,MURCIA
AV JARDINES DEL PRINCIPE,ZARANDONA
AV JERONIMOS,GUADALUPE
AV JESUS MTNEZ CORTADO,PUNTAL EL
AV JOSE BAUTISTA FRUTOS,PUNTAL EL
AV JOSE MARIA GUILLAMON,TORREAGUERA
AV JOVEN FUTURA,ESPINARDO
AV JUANA JUGAN,MURCIA
AV JUAN ANTONIO PEREA,MURCIA
AV JUAN CARLOS I,CORVERA
AV JUAN CARLOS I,GARRES LOS
AV JUAN CARLOS I,GUADALUPE
AV JUAN CARLOS I,MARTINEZ PUERTO
AV JUAN CARLOS I,MURCIA
AV JUAN CARLOS I,RAMOS LOS
AV JUAN CARLOS I,SANTO ANGEL
AV JUAN CARLOS I,ZENETA
AV JUAN CIERVA,MURCIA
AV JUAN PABLO II,MURCIA
AV JUAN RAMON JIMENEZ,ESPARRAGAL
AV JUAN XXIII,CABEZO TORRES
AV JUSTICIA DE LA,MURCIA
AV JUSTO QUESADA,JERON.-AVILESES
AV JUVENTUD,CABEZO TORRES
AV LA RAYA,RINCON SECA
AV LEVANTE,MURCIA
AV LIBERTAD,CASILLAS
AV LIBERTAD DE LA,SAN GINES
AV LIBERTAD,EL PALMAR
AV LIBERTAD,GUADALUPE
AV LIBERTAD,JERON.-AVILESES
AV LIBERTAD,MURCIA
AV LIBERTAD,RAMOS LOS
AV LIBERTAD,SAN BENITO
AV LIBERTAD,SANGONERA VERDE
AV LIBERTAD,SAN JOSE
AV LIBERTAD,SUCINA
AV LIDOS,MONTEAGUDO
AV LOPE VEGA,MURCIA
AV LORCA,SANGONERA SECA
AV LOS CARROS,GEA Y TRUYOLS
AV MADRID,PUNTAL EL
AV MAESTROS LOS,BENIAJAN
AV MAJAL BLANCO -TORREGUIL,SANGONERA VERDE
AV MANUEL GALAN,JERON.-AVILESES
AV MARIANO ROJAS,MURCIA
AV MARIANO ROJAS,PUENTE TOCINOS
AV MARIAS LAS,SUCINA
AV MARQUES DE ESPINARDO,ESPINARDO
AV MARQUES VELEZ,MURCIA
AV MARTIRES,MURCIA
AV MERCAMURCIA,EL PALMAR
AV MIGUEL ANGEL BLANCO,MURCIA
AV MIGUEL DE CERVANTES,MURCIA
AV MIGUEL INDURAIN,MURCIA
AV MONTEAGUDO,CASILLAS
AV MONTEAZAHAR,BENIAJAN
AV MONTE CARMELO,MURCIA
AV MONTEGRANDE-SECANO,TORREAGUERA
AV MURCIA,CABEZO TORRES
AV MURCIA,PUEBLA DE SOTO
AV MURCIA,RAMOS LOS
AV NARCISOS,COBATILLAS
AV NIETAS LAS,SUCINA
AV PADRE MARTINEZ,RAYA LA
AV PALMAR DEL,MURCIA
AV PALMERAL DE ZARAICHE,MURCIA
AV PALMERAS,EL PALMAR
AV PALMITOS,SUCINA
AV PALOMA,ERA ALTA
AV PARQUE CHURRA-THADER,CHURRA
AV PATRICIO VALVERDE ESPIN,MURCIA
AV PATRULLA AGUILA,MURCIA
AV PAZ,EL PALMAR
AV PEDRO DIAZ CASSOU,MONTEAGUDO
AV PEREZ URRUTI,PUNTAL EL
AV PICOS DE EUROPA,ESPARRAGAL
AV PINOS,MURCIA
AV PINTOR PEDRO CANO,EL PALMAR
AV PIO BAROJA,GUADALUPE
AV PIO BAROJA,MURCIA
